record_id,department,data_type,field_name,original_value,standardized_value,issue_type,corrected,source_system
REC-1,Financial Aid,Financial,department_code,RAW_4911,STD_6114,MISSING_VALUE,Y,Banner_ERP
REC-2,HR,Financial,department_code,RAW_3497,STD_4911,MISSING_VALUE,N,Jenzabar
REC-3,Admissions,Student,enrollment_date,RAW_4644,STD_7019,MISSING_VALUE,Y,SharePoint
REC-4,IT Systems,Personnel,enrollment_date,RAW_6550,STD_3451,STALE_DATA,N,Banner_ERP
REC-5,Financial Aid,Financial,department_code,RAW_5395,STD_5830,DUPLICATE_RECORD,Y,Manual_Excel
REC-6,Financial Aid,Operational,gpa,RAW_5964,STD_3288,MISSING_VALUE,Y,Banner_ERP
REC-7,Admissions,Student,student_id,RAW_3204,STD_5941,DUPLICATE_RECORD,N,SharePoint
REC-8,HR,Operational,enrollment_date,RAW_5650,STD_7550,MISSING_VALUE,Y,SharePoint
REC-9,IT Systems,Operational,department_code,RAW_3006,STD_1751,OUT_OF_RANGE,Y,Manual_Excel
REC-10,IT Systems,Operational,email,RAW_6864,STD_7393,MISSING_VALUE,Y,SharePoint
REC-11,Academic Records,Student,student_id,RAW_6683,STD_4146,DUPLICATE_RECORD,Y,Manual_Excel
REC-12,IT Systems,Operational,student_id,RAW_3403,STD_5163,DUPLICATE_RECORD,Y,Manual_Excel
REC-13,HR,Financial,gpa,RAW_5127,STD_8667,INCONSISTENT_FORMAT,N,Legacy_DB
REC-14,HR,Operational,student_id,RAW_8138,STD_2519,INCONSISTENT_FORMAT,Y,SharePoint
REC-15,Academic Records,Operational,enrollment_date,RAW_3119,STD_3238,STALE_DATA,N,Legacy_DB
REC-16,IT Systems,Financial,department_code,RAW_2048,STD_3240,DUPLICATE_RECORD,Y,Banner_ERP
REC-17,Admissions,Financial,enrollment_date,RAW_5519,STD_4694,OUT_OF_RANGE,Y,Banner_ERP
REC-18,HR,Student,student_id,RAW_5937,STD_2953,DUPLICATE_RECORD,N,Legacy_DB
REC-19,Academic Records,Student,student_id,RAW_4309,STD_3983,OUT_OF_RANGE,Y,Jenzabar
REC-20,Admissions,Student,department_code,RAW_1155,STD_7834,INCONSISTENT_FORMAT,Y,SharePoint
REC-21,Financial Aid,Financial,student_id,RAW_6492,STD_8246,STALE_DATA,Y,Manual_Excel
REC-22,Financial Aid,Personnel,student_id,RAW_3027,STD_4485,INCONSISTENT_FORMAT,N,Banner_ERP
REC-23,IT Systems,Operational,enrollment_date,RAW_3857,STD_4718,STALE_DATA,N,Jenzabar
REC-24,Library,Operational,student_id,RAW_4105,STD_1148,INCONSISTENT_FORMAT,N,SharePoint
REC-25,HR,Student,student_id,RAW_7371,STD_7891,STALE_DATA,N,Banner_ERP
REC-26,Financial Aid,Personnel,email,RAW_3936,STD_7707,DUPLICATE_RECORD,Y,SharePoint
REC-27,Admissions,Student,email,RAW_2084,STD_2602,MISSING_VALUE,Y,Legacy_DB
REC-28,Library,Operational,email,RAW_6478,STD_3368,OUT_OF_RANGE,Y,Manual_Excel
REC-29,Admissions,Student,enrollment_date,RAW_5467,STD_7754,OUT_OF_RANGE,N,Banner_ERP
REC-30,Admissions,Operational,aid_amount,RAW_1406,STD_2208,OUT_OF_RANGE,N,Manual_Excel
REC-31,IT Systems,Operational,student_id,RAW_6395,STD_8474,DUPLICATE_RECORD,N,Banner_ERP
REC-32,Academic Records,Student,aid_amount,RAW_1496,STD_3759,DUPLICATE_RECORD,N,SharePoint
REC-33,Admissions,Student,enrollment_date,RAW_3809,STD_7917,INCONSISTENT_FORMAT,Y,Banner_ERP
REC-34,HR,Student,email,RAW_4689,STD_2401,INCONSISTENT_FORMAT,Y,SharePoint
REC-35,Admissions,Student,department_code,RAW_9987,STD_9945,STALE_DATA,Y,Manual_Excel
REC-36,Financial Aid,Student,gpa,RAW_6470,STD_8745,INCONSISTENT_FORMAT,Y,Manual_Excel
REC-37,HR,Operational,email,RAW_7996,STD_5563,DUPLICATE_RECORD,N,Legacy_DB
REC-38,Admissions,Operational,enrollment_date,RAW_7561,STD_3903,STALE_DATA,Y,Legacy_DB
REC-39,Admissions,Financial,department_code,RAW_1558,STD_1370,INCONSISTENT_FORMAT,Y,Manual_Excel
REC-40,IT Systems,Personnel,email,RAW_1671,STD_7965,STALE_DATA,N,SharePoint
REC-41,Financial Aid,Student,aid_amount,RAW_2916,STD_6681,STALE_DATA,N,SharePoint
REC-42,Library,Personnel,gpa,RAW_9975,STD_4034,STALE_DATA,N,Legacy_DB
REC-43,HR,Personnel,email,RAW_1909,STD_7446,INCONSISTENT_FORMAT,N,Jenzabar
REC-44,Library,Student,student_id,RAW_9030,STD_9154,STALE_DATA,Y,SharePoint
REC-45,Admissions,Student,student_id,RAW_8798,STD_5282,DUPLICATE_RECORD,N,Manual_Excel
REC-46,Admissions,Operational,enrollment_date,RAW_7245,STD_4884,INCONSISTENT_FORMAT,Y,Manual_Excel
REC-47,Academic Records,Personnel,student_id,RAW_1706,STD_1427,DUPLICATE_RECORD,Y,Manual_Excel
REC-48,IT Systems,Operational,aid_amount,RAW_5058,STD_8200,DUPLICATE_RECORD,N,Manual_Excel
REC-49,Admissions,Financial,student_id,RAW_2324,STD_4988,STALE_DATA,Y,Jenzabar
REC-50,Admissions,Personnel,aid_amount,RAW_3702,STD_7002,DUPLICATE_RECORD,N,SharePoint
REC-51,Financial Aid,Operational,email,RAW_3169,STD_9422,MISSING_VALUE,N,Banner_ERP
REC-52,Admissions,Personnel,enrollment_date,RAW_6784,STD_3077,STALE_DATA,Y,Legacy_DB
REC-53,Financial Aid,Financial,gpa,RAW_2689,STD_1985,INCONSISTENT_FORMAT,Y,Jenzabar
REC-54,Admissions,Operational,department_code,RAW_7127,STD_9084,MISSING_VALUE,N,Banner_ERP
REC-55,Library,Operational,department_code,RAW_7260,STD_6778,INCONSISTENT_FORMAT,Y,Legacy_DB
REC-56,Admissions,Financial,gpa,RAW_3355,STD_2714,OUT_OF_RANGE,Y,Legacy_DB
REC-57,Library,Student,email,RAW_2468,STD_7948,OUT_OF_RANGE,Y,SharePoint
REC-58,IT Systems,Personnel,student_id,RAW_8512,STD_5039,INCONSISTENT_FORMAT,N,Legacy_DB
REC-59,Financial Aid,Personnel,aid_amount,RAW_1983,STD_5466,OUT_OF_RANGE,N,Legacy_DB
REC-60,Financial Aid,Personnel,student_id,RAW_1567,STD_3674,STALE_DATA,Y,Jenzabar
REC-61,Library,Operational,department_code,RAW_5720,STD_3351,DUPLICATE_RECORD,N,Jenzabar
REC-62,Financial Aid,Student,gpa,RAW_3734,STD_4817,DUPLICATE_RECORD,N,Legacy_DB
REC-63,Admissions,Personnel,student_id,RAW_6975,STD_4341,OUT_OF_RANGE,Y,Manual_Excel
REC-64,Admissions,Student,email,RAW_2467,STD_3639,DUPLICATE_RECORD,Y,Manual_Excel
REC-65,Academic Records,Financial,department_code,RAW_2853,STD_3948,OUT_OF_RANGE,Y,Legacy_DB
REC-66,Library,Financial,email,RAW_8727,STD_3409,MISSING_VALUE,N,Banner_ERP
REC-67,Admissions,Operational,department_code,RAW_4254,STD_1179,STALE_DATA,N,Legacy_DB
REC-68,Financial Aid,Student,enrollment_date,RAW_4599,STD_8754,MISSING_VALUE,N,Jenzabar
REC-69,Admissions,Student,department_code,RAW_8932,STD_5689,DUPLICATE_RECORD,N,Jenzabar
REC-70,IT Systems,Personnel,aid_amount,RAW_4076,STD_3124,DUPLICATE_RECORD,Y,Legacy_DB
REC-71,HR,Student,gpa,RAW_6458,STD_7804,OUT_OF_RANGE,N,Legacy_DB
REC-72,Library,Operational,enrollment_date,RAW_5526,STD_6499,INCONSISTENT_FORMAT,N,Manual_Excel
REC-73,Admissions,Financial,email,RAW_2080,STD_9129,MISSING_VALUE,N,SharePoint
REC-74,Admissions,Student,department_code,RAW_6639,STD_5810,MISSING_VALUE,N,Legacy_DB
REC-75,HR,Personnel,aid_amount,RAW_2289,STD_8842,OUT_OF_RANGE,Y,Jenzabar
REC-76,HR,Personnel,email,RAW_1813,STD_9216,STALE_DATA,Y,SharePoint
REC-77,Financial Aid,Operational,gpa,RAW_7570,STD_3255,INCONSISTENT_FORMAT,Y,Legacy_DB
REC-78,IT Systems,Operational,aid_amount,RAW_2047,STD_5760,STALE_DATA,Y,Manual_Excel
REC-79,Admissions,Operational,gpa,RAW_9972,STD_1630,OUT_OF_RANGE,Y,Manual_Excel
REC-80,Academic Records,Student,aid_amount,RAW_4203,STD_8169,DUPLICATE_RECORD,Y,Legacy_DB
REC-81,HR,Operational,department_code,RAW_2976,STD_1658,STALE_DATA,N,Legacy_DB
REC-82,IT Systems,Student,gpa,RAW_7209,STD_1014,INCONSISTENT_FORMAT,Y,Banner_ERP
REC-83,IT Systems,Financial,email,RAW_3688,STD_1439,INCONSISTENT_FORMAT,Y,Jenzabar
REC-84,Library,Student,student_id,RAW_3101,STD_2263,DUPLICATE_RECORD,Y,SharePoint
REC-85,Admissions,Personnel,aid_amount,RAW_9144,STD_2378,INCONSISTENT_FORMAT,N,Manual_Excel
REC-86,Library,Student,email,RAW_9495,STD_3605,OUT_OF_RANGE,Y,Legacy_DB
REC-87,Academic Records,Personnel,aid_amount,RAW_8945,STD_4676,OUT_OF_RANGE,Y,SharePoint
REC-88,Library,Financial,aid_amount,RAW_9396,STD_8105,MISSING_VALUE,N,Legacy_DB
